Run date,Package name,Line coverage,Branch coverage,Info diags,Low diags,Moderate diags,Significant diags,High diags,Line count
2014/08/21-12:46,,0.26096579476861165,0.26856763925729443,136,172,18,4,0,18330
2014/08/21-12:46,net.sf.sanity4j.workflow,0.036585365853658534,0.006666666666666667,41,32,6,0,0,4295
2014/08/21-12:46,net.sf.sanity4j,0.0,0.0,136,172,18,4,0,18330
2014/08/21-12:46,net.sf.sanity4j.model.coverage,0.9529411764705882,0.9,1,0,0,0,0,842
2014/08/21-12:46,net.sf.sanity4j.model.summary,0.8512396694214877,0.7777777777777778,5,0,0,0,0,731
2014/08/21-12:46,net.sf.sanity4j.model.diagnostic,0.9428571428571428,0.8859649122807017,2,17,1,0,0,2267
2014/08/21-12:46,net.sf.sanity4j.ant.taskdef,0.0,0.0,1,1,0,0,0,366
2014/08/21-12:46,net.sf.sanity4j.util,0.4932249322493225,0.36257309941520466,19,27,8,3,0,3989
2014/08/21-12:46,net.sf.sanity4j.workflow.tool,0.3074484944532488,0.3146067415730337,32,11,1,0,0,2213
2014/08/21-12:46,net.sf.sanity4j.ui,0.0,0.0,7,5,0,1,0,1244
2014/08/21-12:46,net.sf.sanity4j.maven.plugin,0.0,0.0,28,36,0,0,0,1566
2014/08/21-12:46,net.sf.sanity4j.util.math,0.7338709677419355,1.0,5,13,0,0,0,431
2014/08/21-12:46,net.sf.sanity4j.report,0.10311750599520383,0.08709677419354839,31,54,3,0,0,2964
